# Scans semana 2026-W14 — inicio 2026-03-30 00:00:00 UTC
[2026-03-29 19:00:56] SCAN ETH/USDT:USDT | HORA:00:00UTC | P:1985.1200 | Slope1h:-0.0643% | VolR:0.05x | K:67.1 | D:60.6 | GapEMA7:-0.1930% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.027% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.064% | SLOPE_15M:+0.027% | VOL_R:0.05x | ATR_1H:0.8181% | ATR_15M:0.6080% | Funding:-0.00003 | FundAlto:False | GapVWAP:+0.0186% | K15m:69.0 | D15m:67.5 | Cuerpo1H:0.749 | VelaAlc:True | OBV:-80.5352%
[2026-03-29 19:01:03] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.4500 | Slope1h:-0.0282% | VolR:0.05x | K:66.7 | D:60.8 | GapEMA7:-0.0847% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.077% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.028% | VOL_R:0.05x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9717% | ATR_15M:0.6634% | Funding:-0.00028 | FundAlto:False | GapVWAP:+0.0368% | K15m:78.2 | D15m:75.5 | Cuerpo1H:0.846 | VelaAlc:True | OBV:-8.8842%
[2026-03-29 19:01:05] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1984.5600 | Slope1h:-0.0713% | VolR:0.06x | K:66.3 | D:60.4 | GapEMA7:-0.2141% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.015% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.071% | SLOPE_15M:+0.015% | VOL_R:0.06x | ATR_1H:0.8183% | ATR_15M:0.6082% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0002% | K15m:68.0 | D15m:67.1 | Cuerpo1H:0.498 | VelaAlc:True | OBV:-80.4549%
[2026-03-29 19:01:12] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.4100 | Slope1h:-0.0405% | VolR:0.05x | K:65.7 | D:60.4 | GapEMA7:-0.1215% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.077% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.040% | VOL_R:0.05x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9722% | ATR_15M:0.6637% | Funding:-0.00028 | FundAlto:False | GapVWAP:+0.0041% | K15m:78.2 | D15m:75.5 | Cuerpo1H:0.538 | VelaAlc:True | OBV:-8.8636%
[2026-03-29 19:01:14] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1984.1100 | Slope1h:-0.0770% | VolR:0.06x | K:65.7 | D:60.2 | GapEMA7:-0.2311% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.015% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.077% | SLOPE_15M:+0.015% | VOL_R:0.06x | ATR_1H:0.8185% | ATR_15M:0.6083% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0153% | K15m:68.0 | D15m:67.1 | Cuerpo1H:0.296 | VelaAlc:True | OBV:-80.3131%
[2026-03-29 19:01:21] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.4000 | Slope1h:-0.0435% | VolR:0.05x | K:65.4 | D:60.4 | GapEMA7:-0.1307% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.057% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.044% | VOL_R:0.05x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9723% | ATR_15M:0.6638% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0041% | K15m:76.7 | D15m:75.0 | Cuerpo1H:0.462 | VelaAlc:True | OBV:-8.8630%
[2026-03-29 19:01:24] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1984.2700 | Slope1h:-0.0750% | VolR:0.06x | K:65.9 | D:60.2 | GapEMA7:-0.2251% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.026% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.075% | SLOPE_15M:+0.026% | VOL_R:0.06x | ATR_1H:0.8184% | ATR_15M:0.6083% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0099% | K15m:68.9 | D15m:67.4 | Cuerpo1H:0.368 | VelaAlc:True | OBV:-80.2136%
[2026-03-29 19:01:31] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.3700 | Slope1h:-0.0527% | VolR:0.07x | K:64.7 | D:60.1 | GapEMA7:-0.1583% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.057% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.053% | VOL_R:0.07x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9726% | ATR_15M:0.6641% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0287% | K15m:76.7 | D15m:75.0 | Cuerpo1H:0.231 | VelaAlc:True | OBV:-8.8158%
[2026-03-29 19:01:32] SCAN ETH/USDT:USDT | HORA:00:01UTC | P:1983.8500 | Slope1h:-0.0802% | VolR:0.07x | K:65.3 | D:60.0 | GapEMA7:-0.2409% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.024% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.080% | SLOPE_15M:+0.024% | VOL_R:0.07x | ATR_1H:0.8192% | ATR_15M:0.6085% | Funding:-0.00003 | FundAlto:False | GapVWAP:-0.0212% | K15m:68.8 | D15m:67.4 | Cuerpo1H:0.167 | VelaAlc:True | OBV:-80.1569%
[2026-03-29 19:01:39] SCAN SOL/USDT:USDT | HORA:00:01UTC | P:81.3300 | Slope1h:-0.0650% | VolR:0.07x | K:63.7 | D:59.8 | GapEMA7:-0.1952% | SobreEMA7:False | Cruce1h:- | Slope15m:+0.057% | Cruce15m:- | VelasCruce15m:8 | BTC:LATERAL | BLOCK:P<MA50 | P<MA200 | K>45 | P<EMA7 | PLANA | Estado:BLOQ:SLOPE_1H:-0.065% | VOL_R:0.07x | P<EMA7 | GAP_EMA7 | ATR_1H:0.9749% | ATR_15M:0.6644% | Funding:-0.00028 | FundAlto:False | GapVWAP:-0.0533% | K15m:76.7 | D15m:75.0 | Cuerpo1H:0.067 | VelaAlc:False | OBV:-9.2834%
